CODREL,NOME_RELATORIO,NIVEL,MODULO,SUBMODULO,PERMISSAO
597,Usuários Permissão de acesso,OPERADOR,Faturamento,Cadastrais,1
598,Etiqueta de localização,OPERADOR,WMS - Armazenagem,Movimentações,1
599,Auditoria de comprovantes V2,OPERADOR,Faturamento,Movimentação,1
601,RPV MIRASSOL V2 - VEÍCULO,OPERADOR,Faturamento,Movimentação,1
602,Dados CTE,OPERADOR,Faturamento,Movimentação,1
603,Dados Nota Fiscal OST,OPERADOR,Faturamento,Movimentação,1
604,VIAGENS SEM CUSTO MDF,OPERADOR,Faturamento,Movimentação,1
605,Conferência Cega,OPERADOR,WMS - Armazenagem,Movimentações,1
606,Inbound Outbound,OPERADOR,WMS - Armazenagem,Movimentações,1
607,Saldo Produto por Localização,OPERADOR,WMS - Armazenagem,Movimentações,1
608,Razão Conciliação,OPERADOR,Contabilidade,Movimentação,1
609,Envio MDFE por Email,OPERADOR,Faturamento,Movimentação,1
610,RPV MIRASSOL V2 - UNIDADE DE NEGÓCIO,OPERADOR,Faturamento,Movimentação,1
614,DAMDFE_3A_CONTIGENCIA,OPERADOR,Faturamento,Movimentação,1
615,DACTE_3A_PDF,OPERADOR,Faturamento,Movimentação,1
619,Comissão de Vendedores a Receber,OPERADOR,Faturamento,Movimentação,1
620,Painel Gerenciamento de Ocorrências (MACRO),OPERADOR,Programacao,Movimentação,1
621,Dados Doc (MACRO),OPERADOR,Faturamento,Cadastrais,1
622,Pedido de Compra PDF,TI - SISTEMAS,Materiais,Movimentação,1
623,Etiqueta Apartamento,OPERADOR,WMS - Armazenagem,Movimentações,1
624,Etiqueta de UA,OPERADOR,WMS - Armazenagem,Movimentações,1
625,Código de barras por produto IMD,OPERADOR,WMS - Armazenagem,Movimentações,1
626,Cursos e Licenças por Veículo,OPERADOR,Frota,Cadastrais,1
628,REFRESH ROMANEIO DESCARGA (RATEIO JOHN DEEER),GERENTE,Faturamento,Movimentação,0
629,REFRESH ROMANEIO CARREGAMENTO (RATEIO JOHN DEEER),GERENTE,Faturamento,Movimentação,0
630,Dados Ordem de Serviço em Andamento,OPERADOR,Frota,Movimentação,1
631,Programações x OST x Manifesto,OPERADOR,Programacao,Movimentação,1
632,Balancete Anual,OPERADOR,Contabilidade,Movimentação,1
633,Etiqueta endereço WMS,OPERADOR,WMS - Armazenagem,Movimentações,1
634,Etiqueta,OPERADOR,WMS - Armazenagem,Movimentações,1
635,Etiqueta Apartamento Caixa,OPERADOR,WMS - Armazenagem,Movimentações,1
636,Etiqueta UA,OPERADOR,WMS - Armazenagem,Movimentações,1
637,Etiqueta Apartamento Colmeia,OPERADOR,WMS - Armazenagem,Movimentações,1
638,Relação de CTe Subcontatação - Frota Própria,OPERADOR,Faturamento,Movimentação,1
639,Emissão Ordem de Serviço de Transportes ((OST)) (CODIGO BARRAS),OPERADOR,Faturamento,Cadastrais,1
641,Ordem de Coleta ((Container)),OPERADOR,Faturamento,Cadastrais,1
642,Relação de CTe`s Transferencia/Coleta JD,OPERADOR,Faturamento,Movimentação,1
643,Controle Entrada/Saída Cross-Docking,OPERADOR,Faturamento,Movimentação,1
644,Deslocamento Vazio por período,OPERADOR,Frota,Movimentação,1
645,Percentual de pedágio JD - Roc carregamento,OPERADOR,Faturamento,Movimentação,1
646,Percentual de pedágio JD - Roc descarga,OPERADOR,Faturamento,Movimentação,1
647,Dados Doc V2,OPERADOR,Faturamento,Movimentação,1
648,DRE V1,CONTABILIDADE,Contabilidade,Movimentação,1
649,Relatório Auditoria CTRB,OPERADOR,Faturamento,Cadastrais,1
650,Cadastro WMS,OPERADOR,WMS - Armazenagem,Movimentações,1
651,Deslocamento Vazio V2,OPERADOR,Faturamento,Cadastrais,1
652,Relatório Painel (MACRO),OPERADOR,Faturamento,Cadastrais,1
654,Altera dados Container OST,SUPER SIGILOSO,Faturamento,Movimentação,0
655,OST INTERNACIONAL,TI - SISTEMAS,Faturamento,Movimentação,1
656,Balancete Empresa,OPERADOR,Contabilidade,Movimentação,1
657,Tabela de Frete Entregas/Pallet,OPERADOR,Faturamento,Cadastrais,1
658,Acompanhamento Averbação,OPERADOR,Faturamento,Cadastrais,1
659,Documentos Orçamento,OPERADOR,Fluxo de Caixa,Previsão Orçamentária,1
660,Medição Petrobras,OPERADOR,Faturamento,Movimentação,1
661,Medição Petrobras V2,OPERADOR,Faturamento,Cadastrais,1
662,Cadastro de Cartão,MANUTENÇÃO,Frota,Abastecimento,0
663,UPDATE INSERIR REFERÊNCIA,OPERADOR,Programacao,Cadastrais,1
664,Controle Pedidos Aprovação e Liberação,OPERADOR,Materiais,Movimentação,1
665,Vinculo Manifesto x Documento,OPERADOR,Faturamento,Movimentação,1
667,Licenças por Veículo e Motorista,OPERADOR,Frota,Cadastrais,1
668,Relatório Auditoria filtro por contrato V2,OPERADOR,Faturamento,Cadastrais,1
669,Relação Manifestos x Cte (MACRO),OPERADOR,Faturamento,Cadastrais,1
670,Proxima parada manutenção,OPERADOR,Manutencao,Movimentação,1
671,Acompanhamento de Averbação (M),OPERADOR,Faturamento,Cadastrais,1
672,Analise de Diferença Doc x Classificação,OPERADOR,Contabilidade,Movimentação,1
673,Rotas AngelLira x Rodopar,OPERADOR,Faturamento,Cadastrais,1
675,Posição Pneu Estoque,OPERADOR,Frota,Pneus,1
676,Controle Pneus por Veículo,OPERADOR,Frota,Pneus,1
677,Controle Horimetro Equipamentos,OPERADOR,Frota,Cadastrais,1
678,UPDATE STATUS OS,OPERADOR,Fiscal,Cadastrais,1
679,Dados Notas Fiscais,OPERADOR,Faturamento,Cadastrais,1
680,Estatisticas de Uso Rodopar,SUPER SIGILOSO,Utilitarios,Cadastrais,0
681,Nota Fiscal em Transito,OPERADOR,Faturamento,Cadastrais,1
683,UPDATE SITUACAO MOTORISTA,AUDITORIA,Frota,Cadastrais,0
684,CANCELA OST SEQUENCIAL,SUPER SIGILOSO,Faturamento,Movimentação,0
686,NFT PDF,TI - SISTEMAS,Faturamento,Movimentação,1
687,Relação Requisições de Compra,OPERADOR,Materiais,Cadastrais,1
688,Ultima posição Rastreador com KM,OPERADOR,Frota,Movimentação,1
689,UPDATE FILIAL PEDIDO,HOMOLOGACAO,Materiais,Movimentação,0
690,Emissão Requisição de Compra PDF,TI - SISTEMAS,Materiais,Movimentação,1
691,Cursos por Fornecedores,OPERADOR,Faturamento,Cadastrais,1
692,UPDATE LATLONG,EDITA_LOT_LONG,Faturamento,Cadastrais,0
693,Reajuste Frete Emtregas/Pallets,HOMOLOGACAO,Faturamento,Cadastrais,0
694,Reajuste Frete por Agregado,HOMOLOGACAO,Faturamento,Cadastrais,0
695,Relação de Notas de Entrada por Pedido,OPERADOR,Materiais,Cadastrais,1
696,UPDATE SITUACAO VEICULO,AUDITORIA,Frota,Movimentação,0
698,Emissão ROC - Indicado 02 Composição,OPERADOR - FILIAL,Faturamento,Movimentação,1
699,UPDATE DATA PREV PEDIDO,OPERADOR,Materiais,Movimentação,1
700,Relação de Coletas (OST) não baixadas (MACRO)  V2,OPERADOR,Faturamento,Cadastrais,1
702,RNC,OPERADOR,SSMQ,Movimentação,1
703,Termo de Ocorrência,OPERADOR,SSMQ,Movimentação,1
704,Relação Entrada de Materiais por Produtos,OPERADOR,Materiais,Cadastrais,1
705,UPDATE PC,TI - SISTEMAS,Programacao,Movimentação,1
706,UPDATE CARTÃO,TI - SISTEMAS,Frota,Cadastrais,1
707,APURAÇÃO LUCRO V2,OPERADOR,Faturamento,Cadastrais,1
708,Volta Requisição Pendente para Cadastrado,OPERADOR,Materiais,Movimentação,1
709,Analise Fatura,OPERADOR,Faturamento,Cadastrais,1
710,UPDATE AVERBAÇÃO OST POR MANIFESTO,TI - SISTEMAS,Faturamento,Cadastrais,1
711,UPDATE DADOS OST,TI - SISTEMAS,Faturamento,Cadastrais,1
712,Relatório All in One 3A (Por RMD),OPERADOR - FILIAL,Faturamento,Movimentação,1
713,Manifesto de Carga M3,OPERADOR,Faturamento,Cadastrais,1
714,Documento Comprobatório de Entrega M3,OPERADOR,Faturamento,Cadastrais,1
715,UPDATE AUTORIZAÇÃO NOTA,TI - SISTEMAS,Faturamento,Cadastrais,1
716,UPDATE SITUACÃO OST,TI - SISTEMAS,Faturamento,Cadastrais,1
717,Emissão de Fatura M3,OPERADOR,Faturamento,Cadastrais,1
719,Relatório All in One 3A (Por RMD) M3,OPERADOR,Faturamento,Cadastrais,1
720,Emissão Ordem de Coleta M3,OPERADOR,Faturamento,Cadastrais,1
721,Romaneio Carregamento M3,OPERADOR,Faturamento,Cadastrais,1
722,UPDATE VOLTA OST PARA CADASTRADO POR MANIFESTO,TI - SISTEMAS,Faturamento,Cadastrais,1
723,Emissão NFS-e Jundiai,OPERADOR,Faturamento,Cadastrais,1
725,Manifesto,OPERADOR,Faturamento,Cadastrais,1
726,SAC,OPERADOR,Programacao,Movimentação,1
727,Relatório Faturamento M3 por Documento,OPERADOR,Faturamento,Cadastrais,1
728,Follow UP Operacional,OPERADOR,Faturamento,Cadastrais,1
729,Análise Envio de Emails de Pedidos,OPERADOR,Materiais,Cadastrais,1
731,Relação OCS,OPERADOR,Faturamento,Cadastrais,1
732,NFS Jundiai Email,OPERADOR,Faturamento,Movimentação,1
733,Emissão ROC - Com Destinatario,OPERADOR,Faturamento,Movimentação,1
734,Mapa Transportes Policia Federal,OPERADOR,Faturamento,Movimentação,1
735,Envia Email Manifesto,OPERADOR,Faturamento,Cadastrais,1
736,Relatório de Aquisições,CONTABILIDADE,Patrimonio,Cadastrais,1
737,Operacional Grupo Mirassol,OPERADOR,Faturamento,Cadastrais,1
738,BI Indicador de Segurança (Jornada Parada),OPERADOR,Frota,Movimentação,1
739,UPDATE ZERA QUANTIDADE OST,TI - SISTEMAS,Faturamento,Cadastrais,1
740,GERA PC/PV POR OST,TI - SISTEMAS,Faturamento,Movimentação,1
741,Relação de Baixas por Aviso Bancário,OPERADOR,Fluxo de Caixa,Movimentação,1
742,Relação de Documentos com Ocorrência de Recusa,OPERADOR,Faturamento,Cadastrais,1
744,GERA PC/PV POR OST por LOTE,OPERADOR,Faturamento,Movimentação,1
745,Etiqueta CrossDocking QRCODE (POR LOTE),OPERADOR,Faturamento,Cadastrais,1
746,Capa CrossDocking,OPERADOR,Faturamento,Cadastrais,1
747,Movimentação Portaria,OPERADOR,Portaria,Movimentação,1
748,Movimentação Recepção,OPERADOR,Portaria,Movimentação,1
749,Relação de Entrada/Saidas Portaria,OPERADOR,Portaria,Movimentação,1
750,Relacao de Faturas Emitidas por Filial - V2,OPERADOR,Faturamento,Cadastrais,1
752,Razao Analitico - Otimizado,OPERADOR,Contabilidade,Movimentação,1
754,UPDATE DADOS CTE SITUACAO - AUTORIZACAO,TI - SISTEMAS,Faturamento,Cadastrais,1
755,Comissão de Vendedores - Margem Contribuição Operacional,TI - SISTEMAS,Comercial,Cadastrais,1
756,Movimentação de Anexos O.S,OPERADOR,Materiais,Movimentação,1
757,Consulta Anexo Pedido,OPERADOR,Materiais,Movimentação,1
758,Analise Cotação,OPERADOR,Materiais,Movimentação,1
759,Mapeamento Documentos,OPERADOR,Programacao,Movimentação,1
760,UPDATE REFERÊNCIA CTE,TI - SISTEMAS,Faturamento,Cadastrais,1
761,UPDATE REFERÊNCIA OST,TI - SISTEMAS,Faturamento,Cadastrais,1
762,UPDATE GRO SITUAÇÃO,TI - SISTEMAS,Programacao,Movimentação,1
763,UPDATE ENCERRAMENTO MANIFESTO,TI - SISTEMAS,Faturamento,Cadastrais,1
764,Listagem Comissão,OPERADOR,Frota,Movimentação,1
765,Acompanhamento de status Pedidos/OS,OPERADOR,Materiais,Movimentação,1
766,Relação GRO x DOC,OPERADOR,Programacao,Movimentação,1
767,Romaneio Sem Check-list,OPERADOR,Faturamento,Movimentação,1
768,Romaneio Sem Anexo,OPERADOR,Faturamento,Movimentação,1
769,PEDIDO EMERGENCIAL,TI - SISTEMAS,Materiais,Movimentação,1
770,Relação de Contratos de Frete por periodo V2,OPERADOR - FILIAL,Faturamento,Movimentação,1
771,Horario Programação,OPERADOR,Programacao,Movimentação,1
772,Auditoria Carreteiro,OPERADOR,Faturamento,Movimentação,1
773,Relação de Romaneio Descarga X Carregamento,OPERADOR,Faturamento,Cadastrais,1
774,Resultado consolidado V2,OPERADOR,Contabilidade,Movimentação,1
775,UPDATE DADOS OST POR LOTE,TI - SISTEMAS,Faturamento,Cadastrais,1
776,Emissao Contrato de Frete Terceiro (SPOT),OPERADOR,Faturamento,Cadastrais,1
777,Etiqueta Descarga,OPERADOR,Faturamento,Movimentação,1
778,Relação Eventos Adicionais,OPERADOR,Faturamento,Cadastrais,1
779,Conferência de Volumes Operacional,OPERADOR,Faturamento,Cadastrais,1
780,Gera Cálculo de Estadia,TI - SISTEMAS,Faturamento,Cadastrais,1
781,Estadia,OPERADOR,Faturamento,Movimentação,1
782,Seguros,OPERADOR,Faturamento,Movimentação,1
783,Taxas Adicionais,OPERADOR,Faturamento,Movimentação,1
784,Bens Ativos Depreciação,CONTABILIDADE,Patrimonio,Movimentação,1
785,Viagens por Manifesto,OPERADOR,Faturamento,Movimentação,1
786,UPDATE VALE PEDAGIO CTE,TI - SISTEMAS,Faturamento,Cadastrais,1
787,Conferência Pedagio x Manifesto,OPERADOR,Faturamento,Movimentação,1
788,UPDATE ZERA PROGRAMAÇÃO,TI - SISTEMAS,Faturamento,Cadastrais,1
789,PAINEL OPERACIONAL CUBATÃO,OPERADOR,Faturamento,Cadastrais,1
790,Emissao Nota Fiscal de Servico - ILC,OPERADOR,Faturamento,Movimentação,1
791,Comprovantes Pententes,OPERADOR,Faturamento,Movimentação,1
792,Cursos Funcionarios,OPERADOR,Frota,Movimentação,1
793,Relação de Veículos com KM,OPERADOR,Frota,Cadastrais,1
794,UPDATE ENTRADA NF,TI - SISTEMAS,Fluxo de Caixa,Entradas,1
796,CONFERENCIA_ITENS_NF_ESTOQUE_ICMS_PIS_COFINS,OPERADOR,Fiscal,Movimentação,1
797,Posição Geral do Estoque por Localização,OPERADOR,Materiais,Movimentação,1
798,UPDATE CLASSIFICAÇÃO DO ATIVO,TI - SISTEMAS,Patrimonio,Movimentação,1
799,Etiqueta CrossDocking QRCODE (POR NOTA),OPERADOR,Faturamento,Cadastrais,1
800,Analítico RNC,OPERADOR,SSMQ,Movimentação,1
801,Plano Ação,OPERADOR,SSMQ,Movimentação,1
802,Causas Diretas,OPERADOR,SSMQ,Movimentação,1
803,Carta de Advertência,OPERADOR,Frota,Cadastrais,1
804,Relação de Multas,OPERADOR,Frota,Cadastrais,1
805,Extrato Requisições/Abastecimentos,OPERADOR,Frota,Abastecimento,1
806,Movimentação Pneus,OPERADOR,Frota,Movimentação,1
807,Gerencial Fluxo Compensação (em teste),OPERADOR,Fluxo de Caixa,Fluxo de caixa previsto,1
808,Fluxo Compensação (em teste),OPERADOR,Fluxo de Caixa,Fluxo de caixa previsto,1
809,RPV Mirassol Unidade de Negócio + Centro de Gasto,OPERADOR,Faturamento,Movimentação,1
810,Relação NF (Bipagem x NFT),OPERADOR,Faturamento,Cadastrais,1
811,Releção Notas Fiscais de Serviço,OPERADOR,Faturamento,Movimentação,1
812,Romaneio de Carregamento Automatizado,OPERADOR,Faturamento,Cadastrais,1
813,Parceiro Comercial,OPERADOR,Faturamento,Movimentação,1
814,Motoristas,OPERADOR,Frota,Cadastrais,1
815,Veiculos,OPERADOR,Frota,Cadastrais,1
816,Relação de OST`s sem Gate com Evento,OPERADOR,Faturamento,Movimentação,1
817,Conferencia Financeiro Ativo (DEP. Contábil),CONTABILIDADE,Patrimonio,Cadastrais,1
818,Cursos a vencer,OPERADOR,Frota,Movimentação,1
819,Update Pedido End Entrega,HOMOLOGACAO,Materiais,Movimentação,0
820,Romaneio Sinergia,OPERADOR,Faturamento,Cadastrais,1
821,TESTE CP_CONTAB,OPERADOR,Contabilidade,Movimentação,1
822,DECLAN RJ,OPERADOR,Fiscal,Movimentação,1
823,Relação de Produtos Controlado Por Viagem,OPERADOR,Faturamento,Movimentação,1
824,Relação de Mão de Obra de Manutenção,OPERADOR,Manutencao,Movimentação,1
825,Emissao_CTRB_CIOT_MIRASSOL_SPOT_AUTOMATICO,OPERADOR,Faturamento,Cadastrais,1
826,UPDATE VALE PEDAGIO OST,TI - SISTEMAS,Faturamento,Cadastrais,1
827,SM X GRO/MANIFESTO,OPERADOR,Programacao,Movimentação,1
828,Fechamento Viagens - Comissão,OPERADOR,Frota,Movimentação,1
829,Medição de Comprovante de Entrega (MACRO),OPERADOR,Faturamento,Cadastrais,1
830,Faturamento ALL IN ONE,OPERADOR,Faturamento,Cadastrais,1
831,Fatura Envio Automatico,OPERADOR,Faturamento,Cadastrais,1
832,Capa Embalagem JD Louveira,OPERADOR,Faturamento,Cadastrais,1
833,UPDATE LIBERA DUPLICIDADE NF,TI - SISTEMAS,Faturamento,Cadastrais,1
834,Emissao Contrato de Frete Flextronics,OPERADOR,Faturamento,Movimentação,1
835,Relatório Contas a Receber,OPERADOR,Fluxo de Caixa,Contas a Receber,1
836,Diploma Cursos e Licenças,OPERADOR,Frota,Movimentação,1
837,Romaneio Carregamento Descarga,OPERADOR,Faturamento,Movimentação,1
838,Patrimonio Baixado por Ano,CONTABILIDADE,Patrimonio,Cadastrais,1
839,Capa CrossDocking M3 (POR NOTA),OPERADOR,Faturamento,Cadastrais,1
840,Etiqueta CrossDocking QRCODE M3 (POR VOLUME),OPERADOR,Faturamento,Cadastrais,1
841,Relação NF X CTE X Fatura,OPERADOR,Faturamento,Movimentação,1
842,UPDATE CUSTO MDFE,TI - SISTEMAS,Faturamento,Cadastrais,1
843,Acompanhamento Operação Fracionado Grupo Mirassol,OPERADOR,Faturamento,Cadastrais,1
844,GRO VOLKS,OPERADOR,Faturamento,Movimentação,1
845,Abastecimento,OPERADOR,Frota,Abastecimento,1
846,Relatório Exclusão de Anexos (MOT/VEI),OPERADOR,Frota,Cadastrais,1
847,Valor Tabela x Manifesto,OPERADOR,Faturamento,Cadastrais,1
848,Relatório de Movimentação de Estoque,OPERADOR,Materiais,Movimentação,1
849,PEDIDO ANEXO NOTA FISCAL,OPERADOR,Materiais,Movimentação,1
850,Listagem DRE por Conta Contábil,CONTABILIDADE,Contabilidade,Movimentação,1
851,RATEIO REQUISIÇÃO,TI - SISTEMAS,Materiais,Movimentação,1
852,Operação John Deere,OPERADOR,Faturamento,Movimentação,1
854,Concepcao de Indicador,OPERADOR,Faturamento,Movimentação,1
855,Conferência de Romaneio por Situação,OPERADOR,Faturamento,Cadastrais,1
856,Relação Ocorrências por Manifesto V2,OPERADOR,Faturamento,Cadastrais,1
857,UPDATE TIPO MANIFESTO,TI - SISTEMAS,Faturamento,Cadastrais,1
858,UPDATE LIQUIDA DOCUMENTO CR,TI - SISTEMAS,Fluxo de Caixa,Contas a Receber,1
859,UPDATE COND. PAGAMENTO,TI - SISTEMAS,Materiais,Movimentação,1
860,UPDATE DADOS TARIFA TABELA DE FRETE EMPRESA,TI - SISTEMAS,Faturamento,Cadastrais,1
861,Acompanhamento Envio Faturas à Vencer,OPERADOR,Fluxo de Caixa,Contas a Receber,1
863,Emissão NFS-e  PM Guarulhos Por Período,OPERADOR,Faturamento,Cadastrais,1
864,Emissão NFS-e PM Louveira,OPERADOR - FILIAL,Faturamento,Movimentação,1
865,UPDATE ALTERA APROVADOR PEDIDO,TI - SISTEMAS,Materiais,Movimentação,1
866,UPDATE ULTIMO CVA,TI - SISTEMAS,Faturamento,Movimentação,1
867,UPDATE SITUACAO PV P/ CADASTRADO,TI - SISTEMAS,Faturamento,Movimentação,1
868,UPDATE INTEGRA NF,TI - SISTEMAS,Faturamento,Cadastrais,1
869,Emissão NFS-e PM Barueri,OPERADOR,Faturamento,Cadastrais,1
870,Relatório All in One 3A (Por Manifesto),OPERADOR,Faturamento,Movimentação,1
871,Emissão DACTE,OPERADOR,Faturamento,Movimentação,1
872,UPDATE ALTERA CARTÃO,TI - SISTEMAS,Frota,Movimentação,1
873,Audioria NF,OPERADOR,Faturamento,Movimentação,1
874,LISTA NOTAS FISCAIS DE SERVIÇO,OPERADOR,Faturamento,Cadastrais,1
875,LISTA CLASSIFICAÇÃO / CONTAS A PAGAR - ABASTECIMENTO,OPERADOR,Fiscal,Movimentação,1
876,UPDATE SITUAÇÃO PEDIDO (MUDA PARA PENDENTE),TI - SISTEMAS,Materiais,Movimentação,1
877,UPDATE SITUAÇÃO PEDIDO (MUDA PARA APROVADO/LIBERADO),TI - SISTEMAS,Materiais,Movimentação,1
878,Lista Contas a Pagar Origem Contrato de Frete,OPERADOR,Fluxo de Caixa,Contas a Pagar,1
879,Resumo Faturamento,OPERADOR,Faturamento,Movimentação,1
880,UPDATE LINHA OST (PROVISÓRIO),OPERADOR,Faturamento,Cadastrais,1
881,Lista Fluxo Operacional,OPERADOR,Faturamento,Cadastrais,1
882,ENTRADA DE MATERIAIS (TRIBUTOS),OPERADOR,Materiais,Movimentação,1
883,Conciliação (Documentos X Contábil X Livro de Saída),OPERADOR,Fiscal,Movimentação,1
884,Arquivos CONEMB enviados via FTP,OPERADOR,Faturamento,Movimentação,1
885,Lista Eventos Auditoria Vinculados no CTRB,OPERADOR,Faturamento,Cadastrais,1
886,Relação de Romaneio Descarga X Carregamento por Documento,OPERADOR,Faturamento,Cadastrais,1
887,Emissão ROC - Indicado 01 Composição,OPERADOR - FILIAL,Faturamento,Movimentação,1
888,UPDATE COND. DE ATENDIMENTO,TI - SISTEMAS,Faturamento,Movimentação,1
889,UPDATE: ATUALIZA MINUTA E REENVIA CONEMB_R,TI - SISTEMAS,Faturamento,Movimentação,1
890,Relatório Medição Processo de Manutenção,OPERADOR,Manutencao,Movimentação,1
891,Requisição Manutenção,OPERADOR,Manutencao,Movimentação,1
892,Conferencia Gia,OPERADOR,Fiscal,Movimentação,1
894,ATUALIZA_STATUS_CARTAO_MOTORISTA,OPERADOR,Frota,Cadastrais,1
895,Controle de Adiantamento Fornecedores,OPERADOR,Fluxo de Caixa,Contas a Pagar,1
896,Novo Layout JohnDeere (Em Homologação),OPERADOR,Faturamento,Movimentação,1
898,ATUALIZA SEGURO OST,TI - SISTEMAS,Faturamento,Movimentação,1
899,ATUALIZA SEGURO CTE,TI - SISTEMAS,Faturamento,Movimentação,1
900,Relação de ADF Analitica,OPERADOR,Fluxo de Caixa,Contas a Pagar,1
901,UPDATE OBS NF,OPERADOR,Faturamento,Movimentação,1
902,ROC APOIO,OPERADOR,Faturamento,Cadastrais,1
903,Relação de Pedidos de Compra (Nível de Classificação),OPERADOR,Materiais,Movimentação,1
904,Faturamento por Agregado,OPERADOR,Faturamento,Movimentação,1
905,Relatório Conferencia Romaneio de Descarga,OPERADOR,Faturamento,Cadastrais,1
906,Viagens Sem Comprovantes e Auditoria,OPERADOR,Faturamento,Cadastrais,1
907,Viagens Sem Comprovantes e Auditoria Geral,OPERADOR,Faturamento,Cadastrais,1
908,Faturamento Automático,TI - SISTEMAS,Faturamento,Cadastrais,1
909,Viagens em Aberto por Comprovante - Nível de Documento,OPERADOR,Faturamento,Cadastrais,1
910,Autoriza_MDFE_Coleta_APP,OPERADOR,Faturamento,Movimentação,1
911,Dados Documentos Faturamento,OPERADOR,Faturamento,Cadastrais,1
912,Faturamento por Agregados,OPERADOR,Faturamento,Cadastrais,1
913,Dados Operação Fracionado,OPERADOR,Faturamento,Cadastrais,1
914,DACTE HOMOLOGAÇÃO,OPERADOR,Faturamento,Cadastrais,1
915,UPDATE BLOQUEIO CARTÃO,TI - SISTEMAS,Faturamento,Cadastrais,1
916,REMOVE VINCULO DESLOCAMENTO VAZIO,TI - SISTEMAS,Faturamento,Cadastrais,1
917,Mapeamento Pedágio JOHN DEERE Repom,OPERADOR,Faturamento,Cadastrais,1
918,CONFERENCIA DE RETENÇÕES  IRRF e INSS,OPERADOR,Fiscal,Livros Fiscais,1
919,Dados Documentos Operacionais,OPERADOR,Faturamento,Cadastrais,1
920,Movimentacao_Cartao,OPERADOR,Frota,Cadastrais,1
921,Depreciação Acumulada,OPERADOR,Patrimonio,Movimentação,1
922,UPDATE CARTÃO CTRB,TI - SISTEMAS,Faturamento,Cadastrais,1
923,Dados Despesa por Agregado,OPERADOR,Faturamento,Cadastrais,1
924,Relatório Receita x Despesa por Referência,OPERADOR,Faturamento,Cadastrais,1
925,Integrador de Documentos CargoLink,TI - SISTEMAS,Faturamento,Cadastrais,1
927,Teste_Fatura_Dacte,OPERADOR,Faturamento,Movimentação,1
928,Etiqueta Vale Provisório,OPERADOR,Faturamento,Cadastrais,1
930,RELATÓRIO - Processamento Consolidação Vale,OPERADOR,Faturamento,Cadastrais,1
931,UPDATE - Processamento Consolidação Vale,TI - SISTEMAS,Faturamento,Cadastrais,1
933,Emissão NFS-e  PM Betim,OPERADOR - FILIAL,Faturamento,Movimentação,1
934,Relatório Conferencias de Diferenciais Vale,OPERADOR,Faturamento,Cadastrais,1
935,Relatório Consolidação Lotes Vale,OPERADOR,Faturamento,Cadastrais,1
936,Etiqueta Veículos,OPERADOR,Faturamento,Cadastrais,1
937,Razão Analitico Rodobak,OPERADOR,Contabilidade,Cadastrais,1
938,Comissão de Vendedores - HOMOLOGAÇÃO,TI - SISTEMAS,Comercial,Cadastrais,1
939,Contratos Saldo Devedor Auditado,OPERADOR,Faturamento,Cadastrais,1
940,Relatório Painel Operacional Vale,OPERADOR,Faturamento,Cadastrais,1
941,Etiqueta CrossDocking CODE BARRAS,OPERADOR,Faturamento,Cadastrais,1
942,Exporta Chaves Hora Certa,OPERADOR,Faturamento,Movimentação,1
943,Documentos Conta 997,OPERADOR,Contabilidade,Movimentação,1
944,Arquivos OCORREN enviados via FTP,OPERADOR,Faturamento,Movimentação,1
945,Relatório Analise Processamento Contábil,OPERADOR,Contabilidade,Movimentação,1
946,Emissão NFS-e  PM Rio de Janeiro V2,OPERADOR,Faturamento,Cadastrais,1
947,Relatório Comissão de Vendedores,OPERADOR,Faturamento,Cadastrais,1
948,Relatório Itens ASN Vale,OPERADOR,Faturamento,Cadastrais,1
949,Relatório vincula OST no Manifesto,TI - SISTEMAS,Faturamento,Cadastrais,1
950,Relatório Linhas e Rotas,OPERADOR,Faturamento,Cadastrais,1
951,Exporta Chaves Hora Certa - ROMANEIO,OPERADOR,Faturamento,Cadastrais,1
952,Update Altera Contrato Rodobank para EXPRESSO,TI - SISTEMAS,Faturamento,Cadastrais,1
953,Update Altera Contrato Rodobank para LOGÍSTICA,TI - SISTEMAS,Faturamento,Cadastrais,1
954,Update Altera Contrato Rodobank para M3,TI - SISTEMAS,Faturamento,Cadastrais,1
955,Relatório Análise Contratos Rodobank,OPERADOR,Faturamento,Cadastrais,1
956,Relação de Viagens Mirassol,OPERADOR,Faturamento,Cadastrais,1
957,UPDATE PESO CONTRATO,TI - SISTEMAS,Faturamento,Cadastrais,1
958,INTEGRACAO SEGURO RCV,OPERADOR,Faturamento,Movimentação,1
959,Divergência Impostos Entrada x Fluxo de Caixa,OPERADOR,Fiscal,Movimentação,1
960,VÍNCULO EMISSOR X GESTOR,TI - SISTEMAS,Faturamento,Cadastrais,1
961,Acompanhamento SLA Vale,OPERADOR,Faturamento,Cadastrais,1
962,Relatório Analise Faturamento,OPERADOR,Faturamento,Cadastrais,1
963,Relatório Auditoria de Inicio,OPERADOR,Programacao,Cadastrais,1
964,Gera Cte Romaneio,TI - SISTEMAS,Faturamento,Cadastrais,1
965,ROC,TI - SISTEMAS,Faturamento,Movimentação,1
966,Relatório Vinculo Emissores x Gestores,OPERADOR,Faturamento,Cadastrais,1
967,Relatório Pedágio Despesa Cartão,OPERADOR,Faturamento,Cadastrais,1
